album_id,name,release_date,total_tracks,artist,url
3JdE4IkqObXwTWzYKieCUv,Gang Leader (Original Motion Picture Soundtrack),2019-09-05,4,Anirudh Ravichander,https://open.spotify.com/album/3JdE4IkqObXwTWzYKieCUv
4EWlRbJKBFFRulwfKK6tYp,Kothabangarulokam,2008-08-30,6,Mickey J. Meyer,https://open.spotify.com/album/4EWlRbJKBFFRulwfKK6tYp
35CCKYAkZ8GHzIb1rbDND5,Hushaaru,2018-10-01,8,Radhan,https://open.spotify.com/album/35CCKYAkZ8GHzIb1rbDND5
2OgVFYem1WFhNgOPuBa9zX,Ishq,2012-02-03,6,Anup Rubens,https://open.spotify.com/album/2OgVFYem1WFhNgOPuBa9zX
0PkppaGtfsxVlibnWvhNdx,Aata,2007-04-26,6,Devi Sri Prasad,https://open.spotify.com/album/0PkppaGtfsxVlibnWvhNdx
6vNF5yqKTwzL29Pcqw1GDs,Its My Love Story,2013-02-24,6,Sunil Kashyap,https://open.spotify.com/album/6vNF5yqKTwzL29Pcqw1GDs
7vuWNVdv7zSwgHJ7qx26O4,Aarya - 2 (Original Motion Picture Soundtrack),2009-10-30,8,Devi Sri Prasad,https://open.spotify.com/album/7vuWNVdv7zSwgHJ7qx26O4
2w2H5Dr9iiGTAzvH7kyfcF,Routine Love Story,2012-10-20,6,Mickey J. Meyer,https://open.spotify.com/album/2w2H5Dr9iiGTAzvH7kyfcF
4MkKodjpwHZ6sjA0q5pyr4,Ee Nagaraniki Emaindi,2018-06-14,6,Vivek Sagar,https://open.spotify.com/album/4MkKodjpwHZ6sjA0q5pyr4
0cIEwBbPTnrICf9ueeClmR,Yentha Vaadu Gaanie (Original Motion Picture Soundtrack),2015-04-30,7,Harris Jayaraj,https://open.spotify.com/album/0cIEwBbPTnrICf9ueeClmR
3rpmVMH5kV6jYkzSmlpn5u,Rangam,2011-04-09,6,Harris Jayaraj,https://open.spotify.com/album/3rpmVMH5kV6jYkzSmlpn5u
5H8szg85SCzImaWqtqoMOG,Yeto Vellipoyindhi Manasu (Original Motion Picture Soundtrack),2012-09-03,8,Ilaiyaraaja,https://open.spotify.com/album/5H8szg85SCzImaWqtqoMOG
7n61GzJSBuZGrm8U1V9TLd,Yemaaya Chesave (Original Motion Picture Soundtrack),2010-01-29,7,A.R. Rahman,https://open.spotify.com/album/7n61GzJSBuZGrm8U1V9TLd
3Z6fqZ8KtrWQmEfK0ZWwPp,Ala Vaikunthapurramuloo,2019-09-28,1,Thaman S,https://open.spotify.com/album/3Z6fqZ8KtrWQmEfK0ZWwPp
71WErS8E8fXb3dvFuVCaKy,Guna 369,2019-07-11,6,Chaitan Bharadwaj,https://open.spotify.com/album/71WErS8E8fXb3dvFuVCaKy
0U9GjYJr2K1CK8tOax7Hrf,Mirchi,2013-01-05,7,Devi Sri Prasad,https://open.spotify.com/album/0U9GjYJr2K1CK8tOax7Hrf
5I3dEH9cXdYmo8MVIdOkxO,Nuvvostanante Nenoddantana,2005-01-14,7,Devi Sri Prasad,https://open.spotify.com/album/5I3dEH9cXdYmo8MVIdOkxO
6a6ykv4C9RDMutKI4lR36T,Majili,2019-03-11,1,Gopi Sundar,https://open.spotify.com/album/6a6ykv4C9RDMutKI4lR36T
3apA7urNOUxNQlvTnxjaiL,Savaari,2019-09-27,1,Shekar Chandra,https://open.spotify.com/album/3apA7urNOUxNQlvTnxjaiL
1VIBMo5f1qtPe3k4EiUlDs,Guna 369,2019-07-11,1,Chaitan Bharadwaj,https://open.spotify.com/album/1VIBMo5f1qtPe3k4EiUlDs
4X8f6Xj3EHnv6haTEByM3X,Geetha Govindam,2018-01-01,6,Gopi Sundar,https://open.spotify.com/album/4X8f6Xj3EHnv6haTEByM3X
50p6b5wYdaOhymzFOnju1f,Lover,2018-06-24,6,Sai Karthik,https://open.spotify.com/album/50p6b5wYdaOhymzFOnju1f
1rQI0kA0HljvqK3GspBWrf,Pournamy,2006-04-01,10,Devi Sri Prasad,https://open.spotify.com/album/1rQI0kA0HljvqK3GspBWrf
3NPZsWDZwxwABM4gX8qr2a,Vaishali,2011-04-14,4,Thaman S,https://open.spotify.com/album/3NPZsWDZwxwABM4gX8qr2a
4CO4EDT6CLK1TC6n4yJNUX,Pokiri,2006-04-08,6,Mani Sharma,https://open.spotify.com/album/4CO4EDT6CLK1TC6n4yJNUX
0bdAuEoeZIxtDRun4j22CR,Sikindar (Original Motion Picture Soundtrack),2014-07-31,5,Yuvan Shankar Raja,https://open.spotify.com/album/0bdAuEoeZIxtDRun4j22CR
48qWtimyagRy7spCbIdnfl,Aarya,2004-04-19,6,Devi Sri Prasad,https://open.spotify.com/album/48qWtimyagRy7spCbIdnfl
2MsMl4xvzwGfgaIy1BLm0u,Aadavari Matalaku Ardhalu Veruley,2007-03-27,6,Yuvan Shankar Raja,https://open.spotify.com/album/2MsMl4xvzwGfgaIy1BLm0u
287bcBsBqqod9rNEsITpJN,Taxiwaala,2018-10-26,5,Jakes Bejoy,https://open.spotify.com/album/287bcBsBqqod9rNEsITpJN
6LsiFF3CU5YKaHmNg60pWB,"Ninnu Chuse Anandamlo (From ""Gang Leader"")",2019-09-03,1,Anirudh Ravichander,https://open.spotify.com/album/6LsiFF3CU5YKaHmNg60pWB
0UKhCWkRL6X4Kwbjz8Pf0q,Awaara (Original Motion Picture Soundtrack),2010-04-10,6,Yuvan Shankar Raja,https://open.spotify.com/album/0UKhCWkRL6X4Kwbjz8Pf0q
7FDdJ1YCevada9yHsgC8Ka,100% Love,2011-04-11,10,Devi Sri Prasad,https://open.spotify.com/album/7FDdJ1YCevada9yHsgC8Ka
6Ld6uGairZHue63yimAnIn,24 (Telugu) (Original Motion Picture Soundtrack),2016-04-12,6,A.R. Rahman,https://open.spotify.com/album/6Ld6uGairZHue63yimAnIn
3FbSTiZTqp13YPBLlzAJlQ,3 (Original Motion Picture Soundtrack),2012-03-22,10,Anirudh Ravichander,https://open.spotify.com/album/3FbSTiZTqp13YPBLlzAJlQ
3oIvAQN3Gs5VSZTH12arsR,7th Sense (Original Motion Picture Soundtrack),2011-09-23,6,Harris Jayaraj,https://open.spotify.com/album/3oIvAQN3Gs5VSZTH12arsR
6RsL60SSZTVwigjfyY8mD2,Agnyaathavaasi,2017-11-07,6,Anirudh Ravichander,https://open.spotify.com/album/6RsL60SSZTVwigjfyY8mD2
3w8EzPXuYb14Wp4GrsZIqe,Alludu Seenu,2014-06-29,6,Devi Sri Prasad,https://open.spotify.com/album/3w8EzPXuYb14Wp4GrsZIqe
1tqm6TOZEJfsjJagQPFbyd,Arjun Reddy,2017-04-30,7,Radhan,https://open.spotify.com/album/1tqm6TOZEJfsjJagQPFbyd
4rjF7pEttnd3hMEt7iuzgk,Attarrintiki Daaredi,2013-07-19,7,Devi Sri Prasad,https://open.spotify.com/album/4rjF7pEttnd3hMEt7iuzgk
4NK8IntrUbxtrNfKkJJEPh,Balu,2004-11-30,6,Mani Sharma,https://open.spotify.com/album/4NK8IntrUbxtrNfKkJJEPh
5L8Y6lw7QpYIz1WnCEci8b,Balupu,2013-06-12,6,Thaman S,https://open.spotify.com/album/5L8Y6lw7QpYIz1WnCEci8b
4GhzoGGAD5WGhsVDJYlrut,Nippu,2012-01-20,7,Thaman S,https://open.spotify.com/album/4GhzoGGAD5WGhsVDJYlrut
